X,Y,OBJECTID,SH,RS,RP,siteRef,lane,type,percentHeavy,equipmentCurrent,description,region,acceptedDays,AADT5yearsAgo,AADT4yearsAgo,AADT3yearsAgo,AADT2yearsAgo,AADT1yearAgo,siteType
1718253.1818,6044840.8414,25,14,0,0.230000004172325,01400000,Both,Continuous,2.6,Dual Loop,Maunu Road Whangarei about 200m from SH1,01 - Northland,250,21689,21916,20102,21085,20848,Regional Continuous
1715639.49,6043864.6808,26,14,0,3.26999998092651,01400002,Both,Non-Continuous,3.3,Dual Loop,West of Kowhai Park Rd Whangarei,01 - Northland,20,12182,12666,11947,12335,11945,Regional Non-Continuous
1714769.9353,6043805.5427,27,14,0,4.22399997711182,01400004,Both,Non-Continuous,3.3,Dual Loop,Maunu West of Austin Road Whangarei ,01 - Northland,27,9633,9974,9746,9924,9835,Regional Non-Continuous
1710677.0633,6043930.3405,28,14,0,8.59000015258789,01400009,Both,Non-Continuous,3.7,Dual Loop,East of Kara Rd,01 - Northland,28,6515,6454,6084,6752,6315,Regional Non-Continuous
1705611.2199,6039776.3389,29,14,15,0.850000023841858,01400016,Both,National,10.3,Telemetry,MAUNGATAPERE - Telemetry Site 104 ,01 - Northland,342,3095,3124,2973,3172,3086,Telemetry
1691657.8788,6034495.2038,30,14,30,3.1800000667572,01400034,Both,Non-Continuous,11.8,Dual Loop,East of Kara Rd (about 7km west of SH1 Whangarei),01 - Northland,28,2272,2279,2151,2290,2224,Regional Non-Continuous
1680194.2641,6027022.6325,31,14,44,6.76000022888184,01400052,Both,Non-Continuous,9.9,Dual Loop,East of Te Wharau Rd about 5km north of SH12 Dargaville,01 - Northland,34,2752,2681,2562,2732,2639,Regional Non-Continuous
1675178.7034,6088982.0267,32,15,0,0.231000006198883,01500001,Both,Non-Continuous,6.6,Dual Loop,Te Pua Rd S of SH1,01 - Northland,7,2022,2084,2002,1991,2048,Regional Non-Continuous
1673377.3615,6080658.1487,33,15,9,1.16499996185303,01500011,Both,Continuous,5.7,Dual Loop,Mangakahia Road Kaikohe S of,01 - Northland,346,2227,2338,2169,2218,2263,Regional Continuous
1675750.0075,6072665.04,34,15,9,10.2740001678467,01500020,Both,Non-Continuous,11.5,Dual Loop,Mangakahia Road Tautoro S of,01 - Northland,20,733,720,707,651,661,Regional Non-Continuous
1676620.3129,6057535.38,35,15,27,9.88700008392334,01500037,Both,Non-Continuous,12.7,Dual Loop,Mangakahia Road N of Twin Bridges,01 - Northland,27,546,542,535,515,616,Regional Non-Continuous
1680761.7143,6051051.8469,36,15,44,2.06599998474121,01500046,Both,Non-Continuous,11.1,Dual Loop,Mangakahia Road Pakotai N of,01 - Northland,13,580,572,560,524,570,Regional Non-Continuous
1686011.7339,6047287.6815,37,15,44,9.5620002746582,01500053,Both,Non-Continuous,10.9,Dual Loop,Mangakahia Road Parakao E of,01 - Northland,28,666,655,620,775,552,Regional Non-Continuous
1695982.7002,6045171.3975,38,15,54,12.6899995803833,01500066,Both,Non-Continuous,9,Dual Loop,Mangakahia Road Titoki E of,01 - Northland,26,1197,1227,1122,1259,1230,Regional Non-Continuous
1705253.8363,6043222.1576,39,15,69,7.71000003814697,01500077,Both,Non-Continuous,7,Dual Loop,Mangakahia Road Maungatapere W of,01 - Northland,26,2463,2209,2021,2212,2063,Regional Non-Continuous
1709946.8188,6042117.1841,40,15,81,0.964999973773956,01500082,Both,Continuous,14.8,Dual Loop,Otaika Valley Road Maungatapere E of,01 - Northland,313,1595,1626,1544,1627,1544,Regional Continuous
1717448.9319,6039399.6843,41,15,81,9.69999980926514,01500091,Both,Non-Continuous,13.1,Dual Loop,Otaika Valley Road Otaika W of,01 - Northland,27,2351,2293,2104,2242,2170,Regional Non-Continuous
1732636.9838,6031369.6109,42,15A,111,6.00699996948242,15A00006,Both,Continuous,17.5,Dual Loop,Port Marsden Highwaybetween Bens View Rd & Rama Rd ,01 - Northland,333,4500,4363,3860,3952,3957,Regional Continuous
1585328.6452,6180648.1625,43,1N,0,20.0300006866455,01N00020,Both,Non-Continuous,3.4,Dual Loop,North of Te Hapua Rd,01 - Northland,28,356,378,,161,262,Regional Non-Continuous
1585281.7443,6180301.1658,44,1N,20,0.354000002145767,01N00021,Both,Non-Continuous,3.8,Dual Loop,South of Te Hapua Rd about 100m S of restaurant/service station.,01 - Northland,28,417,496,336,225,314,Regional Non-Continuous
1609890.5088,6149403.8143,45,1N,65,2.5,01N00067,Both,Non-Continuous,5.9,Dual Loop,Sth of Motutango S of Salvation Rd (600m S of Turk Valley Rd),01 - Northland,21,1308,1356,1234,1215,1299,Regional Non-Continuous
1619566.9379,6124929.4617,46,1N,83,13.789999961853,01N00097,Both,Non-Continuous,7.6,Dual Loop,Nth of Ninety Mile Beach Rd (about 1.5km S of Waiharara),01 - Northland,28,2098,2173,1904,1939,2070,Regional Non-Continuous
1623224.6776,6122901.8918,47,1N,83,18.5900001525879,01N00102,Both,Non-Continuous,5.7,Dual Loop,Sth of Spains Rd (about 400m S of Big Flat Rd/Srhoj Rd),01 - Northland,21,3867,4052,3561,3716,3724,Regional Non-Continuous
1623502.0236,6119167.7012,48,1N,104,2.66000008583069,01N00107,Both,Continuous,4.4,Dual Loop,Sth of Brott Rd (2km S of SH10 at Awanui),01 - Northland,355,7405,8108,7465,7863,7889,Regional Continuous
1624167.9359,6114420.1871,49,1N,104,7.71999979019165,01N00112,Both,Non-Continuous,4.2,Dual Loop,About 150m south of Empire St Kaitaia,01 - Northland,20,4467,4764,4498,4621,4841,Regional Non-Continuous
1626770.5841,6112949.248,50,1N,104,11.0600004196167,01N00117,Both,Non-Continuous,5.8,Dual Loop,Sth (physically East) of Fryer Rd (about 1.3km W of Ruaroa Rd),01 - Northland,21,3168,3464,2542,2724,2835,Regional Non-Continuous
1639516.5156,6108651.741,51,1N,119,11.460000038147,01N00130,Both,Non-Continuous,11,Dual Loop,Nth of Ramseys Bridge Mangataiore,01 - Northland,27,1245,1336,730,500,1124,Regional Non-Continuous
1664400.4262,6094767.8339,52,1N,167,4.34999990463257,01N00171,Both,Non-Continuous,9.2,Dual Loop,Sth of Sturge Rd (near Lewis Rd Waihou Valley),01 - Northland,14,1961,2171,1460,1446,1606,Regional Non-Continuous
1674646.9674,6089353.4587,53,1N,167,17.5,01N00184,Both,Non-Continuous,8.1,Dual Loop,Nth of Bullman Rd,01 - Northland,27,3063,3396,2810,3153,2748,Regional Non-Continuous
1679740.3707,6087948.4711,54,1N,185,5.16200017929077,01N00190,Both,Continuous,9.1,Dual Loop,Sth of Mason Culvert (about 500m N of SH12 Ohaeawai),01 - Northland,363,1701,1862,1376,1348,1440,Regional Continuous
1682081.0876,6088425.3996,55,1N,190,2.13000011444092,01N00192,Both,Non-Continuous,6.2,Dual Loop,North (actually 150m west) of Old Bay Road 2km east of Ohaeawai.,01 - Northland,13,5155,5166,4717,5301,5114,Regional Non-Continuous
1686965.8749,6086940.8292,56,1N,198,0.0500000007450581,01N00198,Both,Non-Continuous,,Dual Loop,About 50m east of SH10 junction Pakaraka,01 - Northland,,7610,7075,6753,7253,,Regional Non-Continuous
1693396.6656,6084080.8016,57,1N,198,8.59000015258789,01N00207,Both,Non-Continuous,7.7,Dual Loop,West of Saies Rd just east of Moerewa,01 - Northland,27,8635,8632,8289,8787,8530,Regional Non-Continuous
1694877.2273,6084786.3693,58,1N,198,10.2200002670288,01N00209,Both,Non-Continuous,7.9,Dual Loop,Nth of Williams Bridge about 1.2km NW of Kawakawa ,01 - Northland,27,9261,8643,8124,9361,8298,Regional Non-Continuous
1697198.728,6084237.6348,59,1N,198,13.1999998092651,01N00211,Both,Non-Continuous,7.6,Dual Loop,Queen St Kawakawa just W of junc with SH11,01 - Northland,27,9662,9322,8766,10016,9117,Regional Non-Continuous
1697357.85,6083013.5395,60,1N,211,1.27999997138977,01N00212,Both,National,11.4,Telemetry,KAWAKAWA - Telemetry Site 18 about 1.2km south of SH11,01 - Northland,361,7338,7402,6843,6856,7242,Telemetry
1711351.1276,6067244.6164,61,1N,233,5.11700010299683,01N00238,Both,Non-Continuous,10.6,Dual Loop,North of Waiotu Block Rd ,01 - Northland,24,6638,7091,6617,7033,6972,Regional Non-Continuous
1716426.8922,6063100.0079,62,1N,245,1.02999997138977,01N00246,Both,Non-Continuous,9,Dual Loop,About 1100m south of Corbett Rd/Whananaki North Rd,01 - Northland,27,9801,9742,9316,9431,9784,Regional Non-Continuous
1716849.4389,6057300.0841,63,1N,245,7.10699987411499,01N00254,Both,Non-Continuous,8.2,Dual Loop,500m north of Mower Road Kauri,01 - Northland,27,12618,12601,12265,13191,12255,Regional Non-Continuous
1717358.4049,6054864.2009,64,1N,245,9.69999980926514,01N00255,Both,Non-Continuous,8.4,Dual Loop,About 400m north of Apotu Rd & south arm of Salesyards Rd Kauri,01 - Northland,27,11849,12151,11784,12052,11696,Regional Non-Continuous
1718819.276,6045932.8826,65,1N,258,2.14100003242493,01N00260,Both,Non-Continuous,7.9,Dual Loop,Kamo Bypass about 250m north of Kamo Rd (just N of railway bridge),01 - Northland,27,12176,12416,11402,12498,12336,Regional Non-Continuous
1718887.5534,6049019.0166,66,1N,258,3.34100008010864,01N00261,Both,Non-Continuous,6.5,Dual Loop,Kamo Bypass south of Pone Rere Drive,01 - Northland,27,17944,18263,16688,18973,18927,Regional Non-Continuous
1718485.0045,6050091.6487,67,1N,258,4.2480001449585,01N00262,Both,Non-Continuous,5.7,Dual Loop,50m N of Titoki Place 200m S of Percy St Whau Valley,01 - Northland,27,21987,21813,20113,22592,22200,Regional Non-Continuous
1718970.0223,6046416.096,68,1N,258,6.15000009536743,01N00264,Both,Continuous,4.8,Dual Loop,Western Hills Drive about 350m north of Selwyn Avenue Whangarei,01 - Northland,283,27378,27610,24951,27566,25145,Regional Continuous
1718533.4187,6044305.7179,69,1N,266,0.717000007629395,01N00267,Both,Non-Continuous,4.4,Dual Loop,Otakia Rd N of Raumanga Valley Rd 100m S of Tarewa Rd Whangarei,01 - Northland,20,27652,,21737,29813,23512,Regional Non-Continuous
1718312.7895,6042977.6165,70,1N,266,2.21000003814697,01N00268,Both,Non-Continuous,6.3,Dual Loop,Imm S of Cemetery Bridge 100m N of Tauroa St Raumanga,01 - Northland,14,20375,19867,17908,18790,19432,Regional Non-Continuous
1718350.5702,6039829.767,71,1N,266,5.51000022888184,01N00271,Both,Non-Continuous,7.6,Dual Loop,About 400m north of northern Loop Rd exit north of Otaika,01 - Northland,20,19150,19683,17553,17842,18808,Regional Non-Continuous
1716948.5497,6038000.9233,72,1N,272,2.08699989318848,01N00274,Both,Continuous,8.7,Dual Loop,Nth of Maungakaramea Rd Puwera,01 - Northland,318,18071,18944,16512,16282,17520,Regional Continuous
1726306.6629,6029811.5693,73,1N,273,13.6800003051758,01N00287,Both,Non-Continuous,9.2,Dual Loop,About 300m north of Yovich Rd/Flyger Rd,01 - Northland,27,14968,15360,13442,13380,14921,Regional Non-Continuous
1731301.6285,6021395.2476,74,1N,292,6.27199983596802,01N00299,Both,Non-Continuous,8.9,Dual Loop,Nth of Uretiti Rd about 2.5km S of Ruakaka,01 - Northland,27,12862,12951,11597,13622,12040,Regional Non-Continuous
1727847.9252,6015445.6736,75,1N,303,2.65000009536743,01N00309,Both,Non-Continuous,10,Dual Loop,About 400m south of Glenmohr Rd about 650m N of Schultz Rd,01 - Northland,27,10178,10225,8962,12835,9798,Regional Non-Continuous
1733605.2406,5990367.1338,76,1N,319,17.1200008392334,01N00336,Both,National,12.7,Telemetry,WELLSFORD - Telemetry Site 17,01 - Northland,237,11468,11438,9844,8759,10471,Telemetry
1718905.6447,6048980.0749,77,1N,258,3.34100008010864,01N10261,Inc,Non-Continuous,6.5,Dual Loop,Kamo Bypass south of Pone Rere Drive- Inc(SB),01 - Northland,,9233,9490,9951,9819,10549,Regional Non-Continuous
1718970.9946,6046427.0947,78,1N,258,6.08799982070923,01N10264,Inc,Continuous,4.8,Dual Loop,Western Hills Drive about 350m north of Selwyn Avenue - Inc,01 - Northland,,13991,14097,12558,14316,12877,Regional Continuous
1718415.4929,6045498.0238,79,1N,258,7.40000009536743,01N10265,Inc,Non-Continuous,4.8,Dual Loop,About 180m south of Selwyn Avenue - Inc (S/B),01 - Northland,14,14231,14243,13016,15074,13273,Regional Non-Continuous
1718905.6447,6048980.0749,80,1N,258,3.34100008010864,01N20261,Dec,Non-Continuous,6.5,Dual Loop,Kamo Bypass south of Pone Rere Drive- Dec(NB),01 - Northland,,8710,8772,9047,9168,9907,Regional Non-Continuous
1718970.9946,6046427.0947,81,1N,258,6.08799982070923,01N20264,Dec,Continuous,4.8,Dual Loop,Western Hills Drive about 350m north of Selwyn Avenue - Dec,01 - Northland,,13457,13582,12156,13568,12286,Regional Continuous
1718415.4929,6045498.0238,82,1N,258,7.40000009536743,01N20265,Dec,Non-Continuous,4.7,Dual Loop,About 180m south of Selwyn Avenue - Dec (N/B),01 - Northland,14,13475,13923,12815,14535,12465,Regional Non-Continuous
1729332.2785,6027135.7758,83,1N,291,0,01N80291,Ramp,Virtual,10.9,Virtual,RAB of Port Marsden Hwy,01 - Northland,,19468,19723,17302,17332,18878,Virtual
1757752.1124,5919671.3865,84,16,0,0.699999988079071,01600001,Both,Virtual,8.5,Virtual,SH16 Stanley St East of Alten Rd - Virtual,02 - Auckland,,51625,52420,43954,42841,47563,Virtual
1741079.1755,5927502.6254,85,16,19,0.610000014305115,01600023,Both,Continuous,4,Dual Loop,SH16 Sth of Coatesville Riverhead Highway,02 - Auckland,178,36606,37026,34550,34800,37768,Regional Continuous
1740828.1167,5927551.1056,86,16,19,1.71000003814697,01600024,Both,Continuous,4.3,Dual Loop,SH16 Nth of Coatesville Riverhead Highway,02 - Auckland,262,28785,29026,27025,27218,29177,Regional Continuous
1738499.5038,5929019.107,87,16,19,5.36999988555908,01600027,Both,Continuous,3.1,Dual Loop,SH16 Nth of Access Rd,02 - Auckland,355,23300,22901,20660,20844,22734,Regional Continuous
1735754.1977,5929897.3368,88,16,19,7.96000003814697,01600031,Both,Continuous,4.9,Dual Loop,SH16 Sth of Matua Rd (Nth),02 - Auckland,365,15568,15551,13868,14348,15167,Regional Continuous
1734414.2212,5930009.5754,89,16,19,9.3100004196167,01600032,Both,Non-Continuous,4.3,Dual Loop,SH16 Sth of Joyce Adams Pl,02 - Auckland,,15467,15450,13800,14300,15100,Regional Non-Continuous
1728268.1831,5935035.91,90,16,37,3.19000005722046,01600040,Both,Continuous,7.9,Dual Loop,SH16 Sth of Hutchison Rd,02 - Auckland,364,5635,5766,4953,4973,5421,Regional Continuous
1728958.4947,5940118.181,91,16,47,0.280000001192093,01600048,Both,Continuous,5.1,Dual Loop,SH16 Sth of Helensville Rail Bridge,02 - Auckland,365,7616,7750,6900,6350,7242,Regional Continuous
1731076.4057,5943763.7796,92,16,47,7.15999984741211,01600055,Both,Continuous,6.9,Dual Loop,SH16 Sth of Inland Rd,02 - Auckland,295,3882,4081,3637,3643,3920,Regional Continuous
1733946.369,5946336.2676,93,16,47,11.9799995422363,01600058,Both,Continuous,5.7,Dual Loop,SH16 Nth of Kahikatea Flat Rd (Kaukapakapa Bridge),02 - Auckland,364,5523,5684,5221,5602,5939,Regional Continuous
1732956.145,5949377.4961,94,16,47,16.1200008392334,01600063,Both,Continuous,5.9,Dual Loop,SH16 Sth of Quail Rd,02 - Auckland,265,3132,3186,2933,3114,3562,Regional Continuous
1729724.6559,5960208.9953,95,16,69,7.32000017166138,01600076,Both,Continuous,8.4,Dual Loop,SH16 Nth of West Coast Rd,02 - Auckland,364,1688,1656,1564,1619,2049,Regional Continuous
1730362.2025,5973530.0677,96,16,82,9.43000030517578,01600092,Both,Continuous,9,Dual Loop,SH16 Tauhoa Bridge,02 - Auckland,362,1362,1349,1429,1469,1905,Regional Continuous
1734511.4969,5980959.5496,97,16,92,11.1499996185303,01600103,Both,Continuous,7.2,Dual Loop,SH16 Nth of Port Albert Rd,02 - Auckland,362,2698,2694,2485,2462,2726,Regional Continuous
1757641.4586,5919504.1759,98,16,0,1.29999995231628,01610001,Inc,Virtual,7.4,Virtual,SH16 Alten Rd to Grafton Rd Off Ramp WB - Virtual,02 - Auckland,,29421,29939,25078,24226,27288,Virtual
1757615.5657,5919452.1277,99,16,0,2,01610002,Inc,Virtual,3.5,Dual Loop,SH16 SH1 Off Ramp to Wellesley St On Ramp WB,02 - Auckland,,15149,15826,12948,13581,15064,Virtual
1756587.3705,5919093.0826,100,16,0,3,01610003,Inc,Continuous,8.2,Virtual,SH16 Northern Off Ramp to SH1 On Ramp WB - Virtual,02 - Auckland,335,15841,16596,12618,12513,13722,Virtual
1756336.7405,5918919.5918,101,16,0,3.40000009536743,01610004,Inc,Virtual,8.1,Virtual,SH16 SH1 On Ramp to Northern / Hobson St On Ramp WB - Virtual,02 - Auckland,,34459,35377,30622,31096,33957,Virtual
1755621.0911,5918278.2053,102,16,0,5,01610005,Inc,Virtual,8.1,Virtual,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB - Virtual,02 - Auckland,,74549,75971,63741,64395,71217,Virtual
1754927.1271,5918289.8093,103,16,0,6.05999994277954,01610006,Inc,Continuous,7,ATMS (Dual Loop),SH16 St Lukes Rd Interchange WB,02 - Auckland,362,58216,59736,50412,50996,56527,Regional Continuous
1752568.8509,5918038.0974,104,16,0,7,01610007,Inc,Virtual,4.1,Virtual,SH16 St Lukes Rd On Ramp to Great Nth Rd Off Ramp WB - Virtual,02 - Auckland,,68928,70584,59867,60666,67163,Virtual
1751858.1753,5917911.6847,105,16,0,8.5,01610008,Inc,Continuous,4.1,ATMS (Dual Loop),SH16 Great Nth Rd Interchange WB,02 - Auckland,333,33790,33795,30052,30871,33769,Regional Continuous
1748907.4774,5918418.7116,106,16,7,2.5699999332428,01610009,Inc,Continuous,4.1,ATMS (Dual Loop),SH16 Rosebank Rd Off Ramp to Patiki Rd On Ramp WB,02 - Auckland,336,53025,54343,49592,51112,56081,Regional Continuous
1748170.9734,5919211.1401,107,16,7,3.20000004768372,01610010,Inc,Virtual,8.1,Virtual,SH16 Patiki Rd On Ramp to Te Atatu Rd Off Ramp WB - Virtual,02 - Auckland,,60909,62274,56958,58636,64192,Virtual
1747447.355,5919562.6437,108,16,7,4.01999998092651,01610011,Inc,Continuous,8.1,ATMS (Dual Loop),SH16 Te Atatu Rd Interchange WB,02 - Auckland,358,39823,40574,37891,39148,43561,Regional Continuous
1746394.3621,5920122.4564,109,16,7,5.19999980926514,01610012,Inc,Virtual,8.1,Virtual,SH16 Te Atatu Rd On Ramp to Lincoln Rd Off Ramp WB - Virtual,02 - Auckland,,48579,49504,46773,48491,53449,Virtual
1745697.5566,5920567.9965,110,16,7,5.8600001335144,01610013,Inc,Continuous,3.3,ATMS (Dual Loop),SH16 Lincoln Rd Interchange WB,02 - Auckland,365,29625,30355,29927,31569,35564,Regional Continuous
1744742.9956,5921406.9609,111,16,7,7.30000019073486,01610014,Inc,Virtual,3.3,Virtual,SH16 Lincoln Rd On Ramp to Royal Rd Off Ramp WB - Virtual,02 - Auckland,,41139,41171,40292,42409,47459,Virtual
1744397.7446,5922546.1058,112,16,7,9.18000030517578,01610016,Inc,Continuous,1.7,ATMS (Dual Loop),SH16 Royal Rd Off Ramp to Hobsonville Rd / SH18 Off Ramp WB,02 - Auckland,358,33250,33248,32382,33893,38134,Regional Continuous
1743529.7959,5925049.9882,113,16,7,11.1999998092651,01610018,Inc,Continuous,3.3,SCATS,SH16 Hobsonville Rd / SH18 Off Ramp to Brigham Creek Rd Roundabout WB,02 - Auckland,354,9973,9989,9479,9877,10692,Regional Continuous
1752193.9777,5917993.3498,114,16,0,8,01617008,Inc,Virtual,4.1,Virtual,SH16 Great Nth Rd Off Ramp to Southwestern Off Ramp WB - Virtual,02 - Auckland,,50590,52227,44226,44671,50027,Virtual
1751362.0976,5917975.6834,115,16,0,8.85000038146973,01618008,Inc,Virtual,4.1,Virtual,SH16 Great North Rd On Ramp to Southwestern On Ramp WB - Virtual,02 - Auckland,,41460,41515,37294,38239,41641,Virtual
1757846.8381,5919803.5677,116,16,0,1.55999994277954,01619001,Inc,Continuous,8.2,ATMS (Dual Loop),SH16 Grafton Rd Off Ramp to SH1 Off Ramp WB,02 - Auckland,209,24028,24619,20949,20526,23288,Regional Continuous
1757432.1072,5919190.7778,117,16,0,2.5,01619002,Inc,Virtual,8.2,Virtual,SH16 Wellesley St On Ramp to Northern Off Ramp WB - Virtual,02 - Auckland,,22953,23915,20017,20118,21645,Virtual
1756070.3013,5918652.0775,118,16,0,3.79999995231628,01619004,Inc,Virtual,8.1,Virtual,SH16 Northern / Hobson On Ramp to Newton Rd On Ramp WB - Virtual,02 - Auckland,,63751,65261,54641,55173,60851,Virtual
1755568.1139,5918269.0995,119,16,0,9.19999980926514,01619008,Inc,Virtual,4.1,Virtual,SH16 Great Nth Rd On Ramp to Rosebank Rd Off Ramp WB - Virtual,02 - Auckland,,59917,61223,55663,57231,62637,Virtual
1757641.4586,5919504.1759,120,16,0,1.29999995231628,01620001,Dec,Virtual,10.1,Virtual,SH16 Alten Rd to Grafton Rd On Ramp EB - Virtual,02 - Auckland,,22204,22481,18876,18615,20275,Virtual
1757553.5484,5919463.0017,121,16,0,2.00999999046326,01620002,Dec,Virtual,3.6,Dual Loop,SH16 SH1 On Ramp to Wellesley St Off Ramp EB,02 - Auckland,,13505,13811,11550,11881,12704,Virtual
1756493.1868,5919187.885,122,16,0,3,01620003,Dec,Virtual,10.4,Virtual,SH16 Northern On Ramp to SH1 Off Ramp EB - Virtual,02 - Auckland,,15931,16566,13263,13980,14709,Virtual
1756302.6648,5918958.52,123,16,0,3.5,01620004,Dec,Virtual,4.6,Virtual,SH16 SH1 Off Ramp to Northern / Nelson St Off Ramp EB - Virtual,02 - Auckland,,33533,34526,29422,30418,36280,Virtual
1755602.0264,5918311.1641,124,16,0,5,01620005,Dec,Virtual,4.6,Virtual,SH16 Newton Rd Off Ramp to St Lukes Rd On Ramp EB - Virtual,02 - Auckland,,71844,73399,62722,63241,70289,Virtual
1754927.1271,5918289.8093,125,16,0,6.05999994277954,01620006,Dec,Continuous,4,ATMS (Dual Loop),SH16 St Lukes Rd Interchange EB,02 - Auckland,357,57213,58785,49826,50394,56415,Regional Continuous
